500,100000
69,160,21117
420,407,14398
134,327,16872
114,232,14146
421,333,15185
337,33,21167
150,130,16608
317,227,22873
332,126,27255
247,316,455
399,481,18313
295,253,15827
435,405,13211
469,208,16584
480,276,21410
444,442,9080
347,394,1668
336,89,28408
450,451,15708
290,415,25094
31,28,83
170,84,20045
101,235,27443
287,358,16889
257,164,14586
246,182,10076
190,380,6161
460,91,26520
450,119,2302
303,476,16003
245,324,1956
282,480,7491
186,81,17264
97,267,1621
196,371,17663
148,353,2299
355,294,8232
140,381,15173
345,213,18287
354,30,6449
466,45,21059
414,124,21654
65,40,6559
385,334,13523
495,406,1760
475,134,30338
378,179,24303
246,317,31380
177,113,18454
144,376,20904
219,258,21264
200,432,7035
441,4,56
421,207,7099
428,323,8164
460,24,7342
210,232,6476
219,308,3432
332,129,9620
59,163,3199
14,147,29896
373,364,4487
262,287,4337
275,278,30391
431,444,14222
233,24,4485
32,155,23567
371,60,9250
408,7,9770
494,77,2833
275,196,5407
113,193,29018
89,199,3402
431,455,23301
462,409,1933
72,379,18647
276,306,29309
143,141,27030
261,264,9050
481,102,3127
18,489,2351
147,249,9151
456,426,16058
60,299,30922
82,496,10212
52,482,28138
356,159,3569
99,447,21344
273,187,14772
146,202,31712
369,260,28010
284,475,26454
446,33,26631
212,261,14834
354,376,23064
201,78,9438
374,303,30865
57,69,13160
481,113,13329
88,273,27278
11,181,7055
402,149,8746
254,487,10088
347,306,17964
17,21,9794
374,120,5036
209,233,22346
464,141,14519
90,173,30124
343,315,20254
235,403,10075
488,51,18872
203,406,30089
42,13,26836
478,118,16210
357,104,30154
222,349,1936
413,124,12019
480,191,9427
173,155,17512
297,137,18154
258,473,23388
354,35,1932
34,99,4341
243,329,25587
423,92,14045
291,119,7058
499,493,21264
74,336,5167
109,360,6549
335,102,7677
461,52,29209
233,187,21135
334,36,29864
233,38,24513
310,140,28670
479,330,27620
130,264,20772
488,352,29391
57,278,30539
348,345,5027
448,453,28722
470,315,21867
111,475,6257
207,137,31962
444,275,30847
357,428,14288
424,147,16981
192,70,13170
321,334,23788
376,375,14337
189,4,16923
191,79,12711
333,300,26741
325,336,12273
97,479,22068
465,128,28100
344,497,7007
451,355,29142
382,231,8357
265,375,23586
472,218,17829
446,181,3786
269,133,1177
474,241,8546
184,395,2723
304,345,931
229,331,15146
455,299,28905
168,131,14852
466,230,26643
432,287,11115
63,400,21404
222,38,10728
84,229,31746
431,173,20920
295,1,21212
175,41,32345
458,70,12074
487,332,16961
157,207,17348
215,224,2544
420,14,32500
124,106,4820
470,128,11937
225,456,13250
347,12,18066
381,236,14314
307,489,3762
201,99,3728
421,5,23901
65,488,8437
168,66,26145
44,497,3375
153,333,8048
167,161,7223
152,473,1097
52,467,28519
493,97,22466
130,372,1218
